name,ltp,open,high,low,close,quantity
IGI,577.00,587.90,594.00,571.50,583.0,125142
IHL,296.00,303.00,326.00,289.20,309.11,33641
ILBS,674.00,655.70,674.00,633.10,668.98,3101
ILI,588.20,607.00,613.90,585.00,607.21,150265
JALPA,1101.00,1130.00,1130.00,1090.00,1130.04,1000
JBBD87,860.40,858.50,860.40,858.50,858.51,50
JBBL,291.50,300.70,302.90,291.00,294.89,57181
JBLB,1477.00,1470.00,1500.00,1460.00,1450.03,5147
JFL,358.00,366.00,370.00,358.00,359.8,10336
JOSHI,218.10,226.40,230.90,218.10,222.01,27263
JSLBB,884.90,904.00,922.00,870.00,886.94,899
KBL,160.00,158.10,160.80,158.10,160.0,149150
KBLD89,1001.10,1000.50,1002.00,1000.50,1015.01,50
KBLPO,108.00,108.00,108.00,108.00,108.0,20088
KBSH,864.90,887.00,903.00,843.00,869.86,3642
KDBY,8.67,8.45,8.77,8.45,8.62,27452
KDL,864.00,880.00,890.00,863.10,872.99,8004
KEF,8.45,8.79,8.79,8.45,8.7,95327
KKHC,212.00,217.20,225.00,209.10,213.0,10455
KLBSL,785.00,801.00,801.00,785.00,810.03,2179
KMCDB,635.00,625.00,651.20,625.00,625.99,1410
KPCL,384.30,402.90,402.90,380.00,395.0,25631
KRBL,326.30,335.00,338.00,326.20,331.91,17879
KSBBL,323.00,326.10,336.70,323.00,325.02,45340
LBBL,402.00,408.00,414.00,401.00,400.0,45505
LEC,172.00,181.50,182.90,172.00,178.0,126239
LEMF,8.98,9.00,9.00,8.98,9.0,2600
LICN,1435.00,1479.00,1485.00,1432.20,1449.93,3837
LLBS,713.90,683.40,737.00,663.50,670.01,10337
LSL,192.80,192.00,195.10,192.00,193.21,120570
LUK,8.60,8.60,8.77,8.60,8.68,33800
LVF2,8.12,8.10,8.12,8.10,8.25,2590
MAKAR,283.30,291.50,312.10,283.30,295.91,32788
MANDU,701.00,704.90,747.60,686.00,704.88,40322
MBJC,299.00,298.60,305.00,295.10,304.51,40467
MBL,200.00,203.00,203.00,199.00,200.0,75364
MCHL,327.00,322.00,333.90,310.10,319.99,37989
MDB,381.80,395.00,402.90,381.80,392.11,10801
MEHL,278.00,303.50,315.50,275.00,297.61,111911
MEL,197.00,202.20,207.00,196.00,202.2,77379
MEN,605.00,615.10,627.00,600.10,603.07,121625
MERO,559.00,553.70,575.00,553.70,564.99,5116
MFIL,523.00,535.00,543.00,523.00,533.18,28200
MHCL,375.00,399.90,399.90,375.00,408.01,69353
MHL,439.00,418.00,439.00,404.00,418.21,66703
MHNL,225.00,229.20,233.60,219.70,232.9,16619
MKCL,462.80,429.20,462.80,429.20,420.8,3530
MKHC,267.90,272.00,282.50,260.00,277.01,58156
MKHL,333.00,358.00,358.00,325.00,352.19,44446
MKJC,412.10,449.80,449.80,412.10,440.98,6562
MKLB,630.10,644.50,666.00,630.00,641.98,787
MLBBL,815.00,806.00,815.00,790.00,820.0,802
MLBL,326.00,322.00,333.00,320.20,326.29,39396
MLBS,720.00,721.00,750.00,714.00,720.0,544
MLBSL,1840.00,1831.00,1850.00,1830.00,1825.94,841
MMF1,7.80,7.70,7.95,7.40,7.8,30387
MMFDB,540.00,551.90,557.00,540.00,562.91,13833
MMKJL,340.00,360.00,365.00,339.00,361.82,29543
MNBBL,405.00,409.90,412.00,404.10,403.99,47169
MPFL,322.00,323.90,336.60,321.00,317.99,29949
MSHL,530.00,531.40,549.50,501.00,520.99,12985
MSLB,865.00,883.90,883.90,855.00,866.56,371
NABBC,376.00,377.80,377.80,363.60,377.81,4895
NABIL,505.90,513.00,513.00,505.00,506.0,56006
NADEP,527.90,530.00,530.00,520.10,524.07,1657
NBF2,8.21,8.26,8.47,8.15,8.26,7550
NBF3,7.50,7.24,7.75,7.24,7.37,54265
NBL,240.00,244.80,244.80,238.00,240.0,95225
NBLD85,847.70,847.70,847.70,847.70,865.0,10
NBLD87,840.20,850.00,850.00,840.20,849.97,175
NESDO,1660.10,1700.00,1713.00,1655.00,1679.92,830
NFS,316.90,320.20,326.00,311.00,314.01,25577
NGPL,217.50,224.00,227.40,217.50,223.01,71665
NHDL,379.00,382.50,390.10,375.00,382.52,10067
NHPC,154.00,157.00,163.00,152.90,155.01,109606
NIBD2082,1030.00,1035.00,1035.00,1030.00,1025.49,200
NIBD84,862.00,862.10,862.10,862.00,878.96,25
NIBLGF,8.14,8.12,8.70,8.12,8.12,63580
NIBLPF,9.30,9.38,9.56,9.19,9.2,45613
NIBSF2,7.40,7.26,7.40,7.26,7.4,7500
NICA,513.90,515.00,524.90,512.00,512.01,32342
NICBF,9.18,9.09,9.18,8.92,8.92,4220
NICFC,8.79,8.61,9.00,8.61,8.76,62650
NICGF,9.49,9.45,9.58,9.40,9.45,52900
NICL,927.00,970.00,970.00,927.00,960.02,55702
NICLBSL,620.00,615.70,634.00,613.00,627.98,9883
NICSF,9.01,9.00,9.13,9.00,9.15,48280
NIFRA,207.90,211.00,216.10,207.00,210.51,133476
NIL,847.00,865.90,866.00,846.00,861.03,14547
NIMB,176.80,181.00,181.00,176.80,177.99,69687
NIMBPO,143.20,146.00,148.70,143.20,148.3,13432
NLBBL,558.00,566.00,577.20,556.00,555.5,8959
NLG,863.50,887.00,887.00,863.50,870.03,23540
NLIC,667.00,674.60,685.00,665.00,674.49,37725
NLICL,608.00,613.00,619.00,605.00,611.98,17635
NMB,202.50,203.70,205.00,202.00,203.7,35429
NMB50,9.22,9.58,9.74,9.22,9.4,172399
NMBD2085,998.00,998.00,998.00,998.00,994.02,50
NMBMF,536.10,554.00,554.00,536.10,546.99,1710
NMFBS,1065.00,1100.00,1120.00,1062.00,1099.98,3261
NRIC,675.00,680.00,731.30,670.00,686.12,47197
NRM,409.00,431.60,435.00,400.00,423.22,175079
